time,latitude,chl
2024-03-05,58.0,0.129573
2024-03-05,58.25,0.127117
2024-03-05,58.5,0.128232
2024-03-05,58.75,0.133662
2024-03-05,59.0,0.134051
2024-03-05,59.25,0.147076
2024-03-05,59.5,0.156234
2024-03-05,59.75,0.169304
2024-03-05,60.0,0.180843
2024-03-05,60.25,0.181292
2024-03-05,60.5,0.181995
2024-03-05,60.75,0.193583
2024-03-05,61.0,0.194166
2024-03-05,61.25,0.164726
2024-03-05,61.5,0.170892
2024-03-05,61.75,0.174731
2024-03-05,62.0,0.16615
2024-03-05,62.25,0.180139
2024-03-05,62.5,0.177922
2024-03-05,62.75,0.18011
2024-03-05,63.0,0.179395
2024-03-05,63.25,0.20012
2024-03-05,63.5,0.271485
2024-03-05,63.75,0.290072
2024-03-05,64.0,0.27248
2024-03-05,64.25,0.278722
2024-03-05,64.5,0.252683
2024-03-05,64.75,0.268396
2024-03-05,65.0,0.23957
2024-03-06,35.0,0.539972
2024-03-06,35.25,0.495296
2024-03-06,35.5,0.472618
2024-03-06,35.75,0.471721
2024-03-06,36.0,0.463619
2024-03-06,36.25,0.466234
2024-03-06,36.5,0.462858
2024-03-06,36.75,0.444576
2024-03-06,37.0,0.420694
2024-03-06,37.25,0.409907
2024-03-06,37.5,0.404042
2024-03-06,37.75,0.389841
2024-03-06,38.0,0.374905
2024-03-06,38.25,0.369928
2024-03-06,38.5,0.363112
2024-03-06,38.75,0.352703
2024-03-06,39.0,0.336158
2024-03-06,39.25,0.326223
2024-03-06,39.5,0.33342
2024-03-06,39.75,0.343664
2024-03-06,40.0,0.352534
2024-03-06,40.25,0.356349
2024-03-06,40.5,0.363677
2024-03-06,40.75,0.360935
2024-03-06,41.0,0.359247
2024-03-06,41.25,0.367758
2024-03-06,41.5,0.375931
2024-03-06,41.75,0.381209
2024-03-06,42.0,0.381503
2024-03-06,42.25,0.391207
2024-03-06,42.5,0.394578
2024-03-06,42.75,0.392344
2024-03-06,43.0,0.389363
2024-03-06,43.25,0.375022
2024-03-06,43.5,0.368036
2024-03-06,43.75,0.36393
2024-03-06,44.0,0.353442
2024-03-06,44.25,0.348748
2024-03-06,44.5,0.348753
2024-03-06,44.75,0.339265
2024-03-06,45.0,0.332659
2024-03-06,45.25,0.319591
2024-03-06,45.5,0.305195
2024-03-06,45.75,0.296256
2024-03-06,46.0,0.291183
2024-03-06,46.25,0.291926
2024-03-06,46.5,0.292985
2024-03-06,46.75,0.28757
2024-03-06,47.0,0.280552
2024-03-06,47.25,0.293155
2024-03-06,47.5,0.292945
2024-03-06,47.75,0.243799
2024-03-06,48.0,0.24028
2024-03-06,48.25,0.252372
2024-03-06,48.5,0.25329
2024-03-06,48.75,0.25158
2024-03-06,49.0,0.256761
2024-03-06,49.25,0.263291
2024-03-06,49.5,0.27314
2024-03-06,49.75,0.271199
2024-03-06,50.0,0.279427
2024-03-06,50.25,0.278785
2024-03-06,50.5,0.275043
2024-03-06,50.75,0.263899
2024-03-06,51.0,0.264375
2024-03-06,51.25,0.265946
2024-03-06,51.5,0.263024
2024-03-06,51.75,0.270806
2024-03-06,52.0,0.271914
2024-03-06,52.25,0.278498
2024-03-06,52.5,0.266278
2024-03-06,52.75,0.258915
2024-03-06,53.0,0.264149
2024-03-06,53.25,0.269668
2024-03-06,53.5,0.266965
2024-03-06,53.75,0.248033
2024-03-06,54.0,0.230395
2024-03-06,54.25,0.21897
2024-03-06,54.5,0.208583
2024-03-06,54.75,0.200276
2024-03-06,55.0,0.188706
2024-03-06,55.25,0.176113
2024-03-06,55.5,0.168659
2024-03-06,55.75,0.164263
2024-03-06,56.0,0.160342
2024-03-06,56.25,0.155557
2024-03-06,56.5,0.154803
2024-03-06,56.75,0.153671
2024-03-06,57.0,0.15441
2024-03-06,57.25,0.15386
2024-03-06,57.5,0.150155
2024-03-06,57.75,0.144674
2024-03-06,58.0,0.127603
2024-03-06,58.25,0.124739
2024-03-06,58.5,0.127923
2024-03-06,58.75,0.133369
2024-03-06,59.0,0.130628
2024-03-06,59.25,0.145135
2024-03-06,59.5,0.155434
2024-03-06,59.75,0.169267
2024-03-06,60.0,0.184251
2024-03-06,60.25,0.186489
2024-03-06,60.5,0.184819
2024-03-06,60.75,0.19793
2024-03-06,61.0,0.196811
2024-03-06,61.25,0.168051
2024-03-06,61.5,0.174025
2024-03-06,61.75,0.175522
2024-03-06,62.0,0.166185
2024-03-06,62.25,0.179379
2024-03-06,62.5,0.178929
2024-03-06,62.75,0.179466
2024-03-06,63.0,0.177591
2024-03-06,63.25,0.195625
2024-03-06,63.5,0.264255
2024-03-06,63.75,0.281642
2024-03-06,64.0,0.268625
2024-03-06,64.25,0.273104
2024-03-06,64.5,0.249306
2024-03-06,64.75,0.261321
2024-03-06,65.0,0.236114
2024-03-07,35.0,0.64192
2024-03-07,35.25,0.623099
2024-03-07,35.5,0.615634
2024-03-07,35.75,0.613274
2024-03-07,36.0,0.611044
2024-03-07,36.25,0.616632
2024-03-07,36.5,0.607549
2024-03-07,36.75,0.583435
2024-03-07,37.0,0.558565
2024-03-07,37.25,0.527494
2024-03-07,37.5,0.509785
2024-03-07,37.75,0.493717
2024-03-07,38.0,0.471766
2024-03-07,38.25,0.448312
2024-03-07,38.5,0.438083
2024-03-07,38.75,0.423444
2024-03-07,39.0,0.38503
2024-03-07,39.25,0.366084
2024-03-07,39.5,0.366528
2024-03-07,39.75,0.376506
2024-03-07,40.0,0.381304
2024-03-07,40.25,0.383676
2024-03-07,40.5,0.387035
2024-03-07,40.75,0.383624
2024-03-07,41.0,0.379561
2024-03-07,41.25,0.384298
2024-03-07,41.5,0.392513
2024-03-07,41.75,0.397319
2024-03-07,42.0,0.394814
2024-03-07,42.25,0.401638
2024-03-07,42.5,0.399084
2024-03-07,42.75,0.393234
2024-03-07,43.0,0.387481
2024-03-07,43.25,0.370975
2024-03-07,43.5,0.363303
2024-03-07,43.75,0.360307
2024-03-07,44.0,0.347783
2024-03-07,44.25,0.339513
2024-03-07,44.5,0.339886
